category,source_dir,item_id,file_id,name,reqJob,reqLevel,cash,quest,in_string_eqp,in_handbook,in_current_equip_pool,reqJob_supported,reasons,path
Hair,Hair,30000,00030000,黑色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030000.img.xml
Hair,Hair,30001,00030001,红色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030001.img.xml
Hair,Hair,30002,00030002,橙色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030002.img.xml
Hair,Hair,30003,00030003,黄色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030003.img.xml
Hair,Hair,30004,00030004,绿色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030004.img.xml
Hair,Hair,30005,00030005,蓝色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030005.img.xml
Hair,Hair,30006,00030006,紫色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030006.img.xml
Hair,Hair,30007,00030007,褐色短中分,0,0,1,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030007.img.xml
Hair,Hair,30010,00030010,黑色贝吉塔发型,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030010.img.xml
Hair,Hair,30011,00030011,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030011.img.xml
Hair,Hair,30012,00030012,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030012.img.xml
Hair,Hair,30013,00030013,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030013.img.xml
Hair,Hair,30014,00030014,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030014.img.xml
Hair,Hair,30015,00030015,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030015.img.xml
Hair,Hair,30016,00030016,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030016.img.xml
Hair,Hair,30017,00030017,,0,0,0,0,False,False,False,True,missing_string_eqp|missing_handbook|outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030017.img.xml
Hair,Hair,30020,00030020,黑色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030020.img.xml
Hair,Hair,30021,00030021,红色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030021.img.xml
Hair,Hair,30022,00030022,橙色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030022.img.xml
Hair,Hair,30023,00030023,黄色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030023.img.xml
Hair,Hair,30024,00030024,绿色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030024.img.xml
Hair,Hair,30025,00030025,蓝色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030025.img.xml
Hair,Hair,30026,00030026,紫色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030026.img.xml
Hair,Hair,30027,00030027,褐色酷型侧分,0,0,0,0,True,True,False,True,outside_current_equip_pool,gms-server/wz/Character.wz/Hair/00030027.img.xml
