id	job	name	client_path	client_sha256	server_path	server_sha256
1003554	剑豪	武士的护额	clien/Data/Character/Cap/01003554.img	8654d780da09aee73994a566db5cc8eb867b0b8d352254737d7d87bef4c9754e	gms-server/wz/Character.wz/Cap/01003554.img.xml	43efc7b74b7d0994c356de14d054c71a38611ec4afed48ab395c733681af6905
1003555	剑豪	武将的护额	clien/Data/Character/Cap/01003555.img	4d91ffc297a8f736b4d053458e15c958dd3d78c054914d725c98b4a56dd97e7a	gms-server/wz/Character.wz/Cap/01003555.img.xml	b96f226eef1a9fcd27fe94187582d625a465ec087cc8f2ae9bbf3c478ff17641
1003556	剑豪	猛将的护额	clien/Data/Character/Cap/01003556.img	21d04f458b253fcacbbfd8cf2f891e59b9830075f8d7651e9cb407bcd3da85b3	gms-server/wz/Character.wz/Cap/01003556.img.xml	312449e4aab2be363df1c45a84ccec5f46eebade5442e8b35d8c5f8a6fb0f093
1003557	剑豪	剑豪的护额	clien/Data/Character/Cap/01003557.img	2896582ae93de7076ca223892d962cd9b66b76527d74a5a3e9e33527dbe3da14	gms-server/wz/Character.wz/Cap/01003557.img.xml	51bfaf6024047538daa4573ea331198efa1a90af4baf7a0181c3818517303af7
1003570	阴阳师	月白之发带	clien/Data/Character/Cap/01003570.img	be57445a6c8cf790819829736749d295b49018343a743f8074e99cf9f19d415a	gms-server/wz/Character.wz/Cap/01003570.img.xml	6d78294b35bf83022bffa9384fe9361afcb4bce4cfb7942bf3f1657bdfa3e093
1003571	阴阳师	露草之发带	clien/Data/Character/Cap/01003571.img	87cf3898c71080243963cae8120f3105add0b6f351f2502ccb9e89269e4e77a8	gms-server/wz/Character.wz/Cap/01003571.img.xml	85309c44cf054aa82872edd68673e8b8d77c89cd8ffa95eeb898f229d0a66448
1003572	阴阳师	臙朱之发带	clien/Data/Character/Cap/01003572.img	9967dd6b0d1720d4b470b1e6bb7259b8286a6a9e2861a131659b1fc5c84ca3f4	gms-server/wz/Character.wz/Cap/01003572.img.xml	62dbb824512564f881f2fc70e45f9f4b427f4b05c04fdad16a88d77464370b05
1003573	阴阳师	神鸣之发带	clien/Data/Character/Cap/01003573.img	124eb4cd943f9c2c0e25b9440871db861c853a593dcf25d8e34e551402e5d563	gms-server/wz/Character.wz/Cap/01003573.img.xml	8d458d0734423d621445be7be6b59164767f0bf1703c5610f91c000bf8c760a2
1003840	神之子	暗影骑士帽子	clien/Data/Character/Cap/01003840.img	b58ef6b823693cc078e64f4a8d50330149bb5cc296adf9785bafb6d9d3fd2ba9	gms-server/wz/Character.wz/Cap/01003840.img.xml	7e161973064be3bd305102e2acd0f35b9be7b8fe3632dd834d43950169ad5e5f
1003841	神之子	金标骑士帽子	clien/Data/Character/Cap/01003841.img	c8ff1484246bfb64e1569c54cb653ded66cc0301d2c586d28ce411aa10a406f4	gms-server/wz/Character.wz/Cap/01003841.img.xml	f5c09a0bdbd659ed9147d2a81e61fac579be840444a54038078e36fab7e8763c
